,id,click,hour,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21
30372321,3.5276854070732493e+18,0,14102814,1005,1,85f751fd,c4e18dd6,50e219e0,d45f4422,33da2e74,cef3e649,a99f214a,33c0dc55,3bb1ddd7,1,0,23441,320,50,2685,1,33,-1,212
12028842,1.1162338060342182e+19,0,14102315,1005,0,2fda93c1,73123598,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,496189cd,d787e91b,1,0,21678,320,50,2495,2,167,-1,23
32003152,1.2968540324383031e+19,0,14102821,1005,0,85f751fd,c4e18dd6,50e219e0,73206397,2347f47a,8ded1f7a,d859f3de,2f596113,1f0bc64f,1,0,23144,320,50,2665,0,35,-1,221
29649724,6.710536359753677e+18,0,14102812,1005,1,a7853007,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,af62faf4,03683bd4,1,0,22268,320,50,2566,3,815,100156,42
20981036,1.7103167617132505e+19,0,14102607,1005,0,85f751fd,c4e18dd6,50e219e0,e2a1ca37,2347f47a,8ded1f7a,a1d149e2,04a5f414,335e31ff,1,0,16688,320,50,1873,3,39,-1,23
9603537,2.225301023635441e+18,0,14102301,1010,1,85f751fd,c4e18dd6,50e219e0,3fbcdcfd,7801e8d9,0f2161f8,55fe59ef,871ee525,bf83adaa,4,0,15707,320,50,1722,0,35,100084,79
10941832,4.831301984198253e+18,0,14102308,1005,0,85f751fd,c4e18dd6,50e219e0,03528b27,2347f47a,8ded1f7a,a99f214a,394e1a8d,5096d134,1,0,17016,320,50,1873,3,39,100013,23
39064252,7.394004117033623e+18,0,14103014,1005,0,5b08c53b,7687a86e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,73103b43,be74e6fe,1,0,17653,300,250,1994,2,39,-1,33
1712057,1.5453238439328768e+19,0,14102108,1005,1,5b4d2eda,16a36ef3,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,dd5e28b9,d7bc6ccb,1,0,19771,320,50,2227,0,687,100077,48
17126833,1.2127033954343926e+19,0,14102506,1005,0,235ba823,f6ebf28e,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,53ce80bd,be6db1d7,1,0,8330,320,50,761,3,175,100081,23
30305083,1.7257076444467882e+19,0,14102814,1005,0,29cfa778,71ed77a0,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,7d4df2f9,277e7b8c,1,0,19016,300,250,2162,2,39,-1,33
20382790,8.148521294721316e+18,0,14102603,1005,1,5114c672,3f2f3819,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,32ee7ff5,83ca6fdb,1,0,19771,320,50,2227,0,679,100077,48
21305267,1.1706003706631043e+19,0,14102609,1005,1,178a7b89,b4598159,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,bab1d9d7,d787e91b,1,0,8330,320,50,761,3,175,100075,23
8967236,7.863941318677164e+18,0,14102219,1005,1,f61eaaae,6b59f079,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,52adde85,649e7a14,1,0,20970,320,50,2372,0,813,-1,46
33850633,1.1782954562443923e+19,0,14102909,1005,1,57ef2c87,bd6d812f,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,26f412d6,07bb0685,1,0,19771,320,50,2227,0,935,100081,48
9979273,1.0269512400241625e+19,1,14102304,1005,1,e4d8dd7b,a17bde68,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,7e21f5e9,fce66524,1,0,16615,320,50,1863,3,39,-1,23
35818837,1.146097780056701e+19,0,14102920,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,54416196,1f0bc64f,1,0,23723,320,50,2716,3,47,-1,23
16327549,6.855338716808442e+18,0,14102417,1005,1,856e6d3f,58a89a43,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,40731ab0,8b1aa260,1,0,19772,320,50,2227,0,679,100075,48
12664307,1.7413491555872168e+19,0,14102318,1005,0,85f751fd,c4e18dd6,50e219e0,3bfa19cb,2347f47a,0f2161f8,eb46f738,605f7986,33bdf92e,1,0,19771,320,50,2227,0,679,100079,48
12507562,1.7502233571210715e+19,0,14102317,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,011a9245,8d19d3d4,1,2,20108,320,50,2299,2,1319,100084,52
24352252,1.0638178227286483e+19,0,14102705,1005,0,6ec06dbd,d262cf1e,f66779e6,ecad2386,7801e8d9,07d7df22,a99f214a,6009ec3e,9efa421a,1,0,19771,320,50,2227,0,935,100075,48
29528261,1.5890106545754253e+19,0,14102812,1005,0,85f751fd,c4e18dd6,50e219e0,f53417e1,0e8616ad,0f2161f8,a99f214a,7c2b67ce,db1d05df,1,0,19776,320,50,2229,0,687,100031,48
34711447,3.3519940752042813e+18,1,14102913,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,a8aa57cb,5db079b5,1,2,15707,320,50,1722,0,35,100084,79
23917067,7.22913455830162e+18,0,14102700,1005,0,5b08c53b,7687a86e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,a75a4e2c,81b42528,1,0,17654,300,250,1994,2,39,100084,33
5193708,2.866121584426111e+18,0,14102206,1005,0,85f751fd,c4e18dd6,50e219e0,36f58dec,2347f47a,f95efa07,a99f214a,c73689b9,1ccc7835,1,0,21790,320,50,2513,3,35,-1,68
20383977,8.332037737561704e+18,0,14102603,1005,0,85f751fd,c4e18dd6,50e219e0,54c5d545,2347f47a,0f2161f8,096a6f32,8c7dfceb,7ac6007f,1,2,17016,320,50,1873,3,39,100061,23
31876347,1.7144634453802822e+19,1,14102820,1005,0,85f751fd,c4e18dd6,50e219e0,66f5e02e,6f7ca2ba,0f2161f8,6c64104a,5368286d,dc15c87e,1,2,22813,320,50,2647,2,35,100148,23
38296702,6.233969871101872e+18,0,14103011,1005,1,17caea14,0dde25ec,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,43a1a3da,27ca5eeb,1,0,23722,320,50,2716,3,47,-1,23
39331204,9.525861411677951e+17,1,14103015,1005,0,5b08c53b,7687a86e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,679b6a86,fce66524,1,0,20018,300,250,2286,3,39,100077,23
30316660,1.7761282853246112e+19,0,14102814,1005,1,b7e9786d,b12b9f85,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,ba8ce739,ce576f14,1,0,19771,320,50,2227,0,935,100081,48
33469553,1.5028858604823996e+19,0,14102907,1005,0,85f751fd,c4e18dd6,50e219e0,66f5e02e,6f7ca2ba,0f2161f8,a8937a10,c08631b1,81f481ad,1,0,23729,320,50,2717,2,35,-1,23
26944723,1.6422103732389087e+19,1,14102722,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,8ed63b02,04f5b394,1,0,17264,320,50,1872,3,39,-1,23
4262900,3.6558701532818995e+18,0,14102201,1005,1,d9750ee7,98572c79,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,24ed1e0d,ab4085d5,1,0,17753,320,50,1993,2,1063,100084,33
10633854,1.1331008130890235e+18,0,14102307,1005,1,856e6d3f,58a89a43,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,34874ec9,f186d2e8,1,0,16838,320,50,1882,3,35,-1,13
32746886,1.0765387198674315e+19,0,14102903,1005,0,85f751fd,c4e18dd6,50e219e0,a5184c22,b8d325c3,0f2161f8,a99f214a,00380f88,8803c3d6,1,2,22989,320,50,2657,3,38,-1,23
5464890,4.885801726502825e+18,0,14102207,1005,0,85f751fd,c4e18dd6,50e219e0,3f2a6cbb,33da2e74,cef3e649,a99f214a,285aa37d,3bb1ddd7,1,0,19733,320,50,2260,0,171,100156,91
19451070,1.8263116248415132e+19,0,14102518,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,7a16ef7b,8a4875bd,1,0,15706,320,50,1722,0,35,-1,79
3701056,1.9450331288794888e+18,0,14102119,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,e91f039c,158e4944,1,0,21674,320,50,2495,2,167,100181,23
18878597,5.673105810715649e+18,0,14102515,1005,0,85f751fd,c4e18dd6,50e219e0,92f5800b,ae637522,0f2161f8,a99f214a,70b19645,0bcabeaf,1,3,21191,320,50,2424,1,161,100193,71
31001192,4.879196048818626e+18,0,14102816,1005,1,57ef2c87,bd6d812f,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,da2c8fa0,6e71128d,1,0,19772,320,50,2227,0,935,100081,48
8067842,1.215865296126832e+19,1,14102215,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,1a57d021,8a4875bd,1,0,10739,320,50,1076,0,35,-1,79
26280872,5.325935569528197e+18,1,14102717,1005,1,0a742914,510bd839,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,c7b59b5f,8a4875bd,1,0,22681,320,50,2528,0,39,100074,221
2425544,6.885086611953078e+18,0,14102111,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,a3151441,553f099b,1,0,21731,320,50,2502,0,35,-1,221
16213473,1.624513824578912e+19,0,14102417,1005,0,85f751fd,c4e18dd6,50e219e0,92f5800b,ae637522,0f2161f8,a99f214a,4c3beff5,981edffc,1,3,21189,320,50,2424,1,161,100190,71
22671250,1.1407294052203713e+19,0,14102615,1005,0,85f751fd,c4e18dd6,50e219e0,febd1138,82e27996,0f2161f8,a99f214a,4c59274d,2ea4f8ba,1,0,19743,320,50,2264,3,427,100000,61
10581494,5.263972783947397e+18,0,14102306,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,7354e6b0,00b1f3a7,1,0,17037,320,50,1934,2,39,-1,16
14127509,1.4048752208690528e+19,0,14102406,1005,1,57ef2c87,bd6d812f,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,16605d82,ce576f14,1,0,19772,320,50,2227,0,679,100077,48
40426814,9.57633200778616e+18,0,14103023,1005,0,6256f5b4,28f93029,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,b9d4771c,ecb851b2,1,0,15707,320,50,1722,0,35,-1,79
5218503,4.289868462916574e+18,0,14102206,1005,0,6ec06dbd,d262cf1e,f66779e6,ecad2386,7801e8d9,07d7df22,a99f214a,694f83e2,dae220ad,1,0,21790,320,50,2513,3,35,-1,68
18453234,9.56463247424686e+18,0,14102513,1005,0,d9750ee7,98572c79,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,1cf29716,23885c9e,1,0,6392,320,50,547,3,47,-1,23
36416777,1.4735397116491825e+19,0,14103002,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,6612b6be,d787e91b,1,0,17262,320,50,1872,3,39,-1,23
30875110,1.409655098666763e+19,1,14102816,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,637decc5,8a4875bd,1,0,17264,320,50,1872,3,39,-1,23
16173759,1.3728436593373885e+18,0,14102417,1005,1,16c73019,8025317b,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,e994d72f,36d749e5,1,0,20392,320,50,2340,3,41,100111,159
8363570,5.503976186829537e+18,0,14102216,1005,0,85f751fd,c4e18dd6,50e219e0,6fc85e22,7801e8d9,0f2161f8,058db437,c8ffcf2b,dc739d1a,1,0,17877,320,50,2036,3,47,-1,156
821010,3.683374365645695e+18,0,14102104,1005,0,85f751fd,c4e18dd6,50e219e0,1779deee,2347f47a,f95efa07,a99f214a,95b2935e,597ff2d3,1,2,20003,320,50,2282,3,35,-1,117
12559194,6.328206887700071e+18,0,14102317,1005,0,6256f5b4,28f93029,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,aa4bd489,3371dfeb,1,0,6563,320,50,572,2,39,-1,32
18873194,5.293804707719138e+17,0,14102515,1005,1,5ee41ff2,17d996e6,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,2185099c,8a4875bd,1,0,20006,320,50,2283,0,163,-1,95
32189033,1.6587882256036125e+19,0,14102822,1005,0,83a0ad1a,5c9ae867,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,9ac7ca4b,8a4875bd,1,0,23144,320,50,2665,0,35,100148,221
6859084,1.5151553343817198e+19,0,14102211,1005,0,85f751fd,c4e18dd6,50e219e0,e96773f0,2347f47a,0f2161f8,a99f214a,10960ee0,6efeec4d,1,0,21768,320,50,2506,0,35,-1,157
10121646,2.3126108289050706e+18,0,14102304,1005,1,57fe1b20,5b626596,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,bd377f28,8a4875bd,1,0,6392,320,50,547,3,47,-1,23
7788037,6.42809261026108e+18,0,14102213,1005,0,5bcf81a2,9d54950b,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,eed042c3,526fa832,1,0,21767,320,50,2506,0,35,100111,157
5573232,1.2207762855577354e+19,0,14102208,1005,0,85f751fd,c4e18dd6,50e219e0,387bdb33,2347f47a,0f2161f8,dae069d6,ab69ce9e,dc15c87e,1,2,21768,320,50,2506,0,35,100148,157
9628425,6.215478238138265e+18,0,14102301,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,ceffea69,7eef184d,1,0,15701,320,50,1722,0,35,-1,79
32804563,1.4965578644725162e+19,0,14102903,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,4847b8f2,8a4875bd,1,0,23171,320,50,2668,0,35,-1,221
28494539,4.804099790025969e+18,0,14102808,1005,0,85f751fd,c4e18dd6,50e219e0,c94d7b1c,2347f47a,0f9a328c,a99f214a,7b41df21,36d749e5,1,0,21862,320,50,2524,0,35,-1,221
17682033,1.4042530882061027e+19,0,14102510,1005,1,5b4d2eda,16a36ef3,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,5df72157,76dc4769,1,0,20009,320,50,2283,0,163,100076,95
12470964,1.3690327252441833e+19,0,14102317,1005,0,85f751fd,c4e18dd6,50e219e0,febd1138,82e27996,0f2161f8,a99f214a,01ccd018,99e427c9,1,0,21611,320,50,2480,3,297,100111,61
22376725,6.967645443327919e+18,0,14102613,1005,1,a7853007,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,6394f6f6,3bb1ddd7,1,0,22268,320,50,2566,3,41,100156,42
8420792,1.0628514984618537e+19,0,14102217,1005,1,17caea14,0dde25ec,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,d64686c7,1617d758,1,0,20312,320,50,1780,0,1711,100077,48
13788086,1.3266113735365405e+19,0,14102404,1005,0,9a28a858,64778742,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,88b8b072,0eb711ec,1,0,21834,300,250,2523,3,39,-1,221
12661896,1.7155474555843334e+19,0,14102318,1005,0,6399eda6,968765cd,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,56e8ef9c,47a346ac,1,0,19772,320,50,2227,0,679,-1,48
11793911,5.550188217750159e+18,1,14102313,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,a93c05e1,711ee120,1,0,15705,320,50,1722,0,35,100083,79
7626853,1.474130133997769e+19,1,14102213,1005,0,5bcf81a2,9d54950b,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,f788825f,b0d451d9,1,0,21767,320,50,2506,0,35,-1,157
11621871,4.099922157638615e+18,0,14102312,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,ed9a1897,95a0fb49,1,0,18094,320,50,2060,3,39,-1,23
20767328,1.4694804341431794e+19,1,14102606,1005,0,85f751fd,c4e18dd6,50e219e0,8dbc921a,d9b5648e,0f2161f8,a99f214a,2b9f8f35,f4fffcd0,1,0,20274,320,50,2225,0,679,100101,48
9566924,1.2844404205244725e+19,0,14102301,1005,1,17caea14,0dde25ec,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,99d6a875,76dc4769,1,0,21882,320,50,2526,0,35,100075,221
36407115,1.3079314738586878e+19,0,14103002,1005,0,85f751fd,c4e18dd6,50e219e0,388d9bfb,2347f47a,cef3e649,3de6b0b9,b256f888,260bcecc,1,2,23730,300,250,2717,2,47,100111,23
4592128,1.4180872543315352e+19,0,14102204,1005,0,85f751fd,c4e18dd6,50e219e0,03528b27,2347f47a,8ded1f7a,a99f214a,507d82f0,cd5b1559,1,2,21790,320,50,2513,3,35,-1,68
2815741,1.2228680212794925e+19,0,14102114,1005,0,85f751fd,c4e18dd6,50e219e0,febd1138,82e27996,0f2161f8,a99f214a,ce1dd1e7,99e427c9,1,0,21611,320,50,2480,3,297,100111,61
38279100,4.906434294269383e+18,0,14103011,1005,1,e5c60a05,7256c623,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,9b4a0670,5ec45883,1,0,19772,320,50,2227,0,935,100081,48
13461745,1.9250296714532752e+17,0,14102401,1005,0,85f751fd,c4e18dd6,50e219e0,a0a45985,885c7f3f,0f2161f8,1fcc7653,df43c77f,3de05cb4,1,2,20634,320,50,2374,3,39,-1,23
8874450,1.5575094958321904e+19,0,14102219,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,fb5edaa6,0eb711ec,1,0,17262,320,50,1872,3,39,-1,23
10415503,5.260659411391769e+18,0,14102305,1005,0,5b08c53b,7687a86e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,7de5c07c,d787e91b,1,0,21914,300,250,2528,3,35,100075,221
35170759,6.405587614969855e+18,0,14102915,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,6aa729b5,76dc4769,1,0,15702,320,50,1722,0,35,-1,79
20698550,8.249705987490881e+18,0,14102605,1005,0,85f751fd,c4e18dd6,50e219e0,ce183bbd,ae637522,cef3e649,a99f214a,47b71021,36b67a2a,1,0,16352,320,50,1823,1,167,100004,71
11834966,9.730986594165795e+18,1,14102313,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,9de16190,1f0bc64f,1,0,17014,320,50,1872,3,39,-1,23
11217378,1.189439897180121e+18,0,14102310,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,76df963c,7dc3b26e,1,0,15701,320,50,1722,0,35,100083,79
36986945,1.2054443508989233e+19,0,14103005,1005,1,cffc1324,bc63ea42,335d28a8,ecad2386,7801e8d9,07d7df22,a99f214a,e0ae4bee,45abfcf3,1,2,23759,320,50,2724,0,35,-1,253
8005323,6.586105752275382e+18,0,14102214,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,625b9e56,c464aa46,1,0,10739,320,50,1076,0,35,100148,79
20480956,2.851377756320168e+18,0,14102604,1005,0,6399eda6,968765cd,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,5e846314,8a4875bd,1,0,19950,320,50,1800,3,167,-1,23
31971432,9.79973634249953e+18,0,14102820,1005,1,5b4d2eda,16a36ef3,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,5a432b46,8a4875bd,1,0,21875,320,50,2526,0,167,-1,221
5097048,1.3915689519589274e+18,0,14102206,1005,1,a7853007,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,6394f6f6,3bb1ddd7,1,0,19143,320,50,2181,0,169,100156,111
